2025-03-04 22:07:22,447 | INFO | User admin is listing all groups
2025-03-04 22:07:35,144 | INFO | User admin is listing all groups
2025-03-04 22:07:35,147 | INFO | User admin is listing all permissions
2025-03-04 22:07:49,226 | INFO | User admin is listing all groups
2025-03-04 22:07:49,233 | INFO | User admin is listing all permissions
2025-03-04 22:08:16,433 | INFO | User admin is listing all groups
2025-03-04 22:08:16,437 | INFO | User admin is listing all permissions
2025-03-04 22:08:38,285 | INFO | User admin is creating permission: fake
2025-03-04 22:08:38,311 | INFO | User admin is listing all permissions
2025-03-04 22:08:41,812 | INFO | User admin is listing all groups
2025-03-04 22:08:41,814 | INFO | User admin is listing all permissions
2025-03-04 22:08:51,763 | INFO | User admin is assigning permission ID 2 to group ID 1
2025-03-04 22:08:51,799 | INFO | User admin is listing all groups
2025-03-04 22:16:34,575 | INFO | No token found
2025-03-04 22:19:21,126 | INFO | No token found
2025-03-04 22:22:06,929 | INFO | User admin is listing all groups
2025-03-04 22:22:06,930 | INFO | User admin is listing all permissions
2025-03-04 22:22:18,343 | INFO | User admin is removing user ID 2 from group ID 1
2025-03-04 22:22:18,370 | INFO | User admin is listing all groups
2025-03-04 22:22:18,374 | INFO | User admin is listing all permissions
2025-03-04 22:22:22,424 | INFO | User admin is assigning user ID 2 to group ID 1
2025-03-04 22:22:22,451 | INFO | User admin is listing all groups
2025-03-04 22:22:22,454 | INFO | User admin is listing all permissions
2025-03-04 22:22:29,639 | INFO | User admin is creating group: fake
2025-03-04 22:22:29,669 | INFO | User admin is listing all groups
2025-03-04 22:22:29,670 | INFO | User admin is listing all permissions
2025-03-04 22:22:47,735 | INFO | User admin is assigning permission ID 2 to group ID 2
2025-03-04 22:22:47,760 | INFO | User admin is listing all groups
2025-03-04 22:22:47,762 | INFO | User admin is listing all permissions
2025-03-04 22:22:58,939 | INFO | User admin is listing all groups
2025-03-04 22:22:58,939 | INFO | User admin is listing all permissions
2025-03-04 22:23:07,871 | INFO | User admin is listing all groups
2025-03-04 22:23:07,873 | INFO | User admin is listing all permissions
2025-03-04 22:23:13,121 | INFO | User admin is removing user ID 2 from group ID 1
2025-03-04 22:23:13,146 | INFO | User admin is listing all groups
2025-03-04 22:23:13,149 | INFO | User admin is listing all permissions
2025-03-04 22:24:05,194 | INFO | No token found
